,src,nei,d,d_est,d_err_absolute,d_err_relative
1256,12:2E,D4:B6,9.814163234835664,9.78,0.03416323483566508,0.003481013512634644
1257,12:2E,D4:B6,9.814163234835664,9.8,0.01416323483566373,0.0014431423746235346
1258,12:2E,D4:B6,9.814163234835664,9.79,0.024163234835665293,0.00246207794362918
1259,12:2E,D4:B6,9.814163234835664,9.82,0.005836765164335844,0.0005947287633873943
1260,12:2E,D4:B6,9.814163234835664,9.79,0.024163234835665293,0.00246207794362918
1261,12:2E,D4:B6,9.814163234835664,9.82,0.005836765164335844,0.0005947287633873943
1262,12:2E,D4:B6,9.814163234835664,9.82,0.005836765164335844,0.0005947287633873943
1263,12:2E,D4:B6,9.814163234835664,9.81,0.004163234835663943,0.0004242068056180701
1264,12:2E,D4:B6,9.814163234835664,9.82,0.005836765164335844,0.0005947287633873943
1265,12:2E,D4:B6,9.814163234835664,9.8,0.01416323483566373,0.0014431423746235346
1266,12:2E,D4:B6,9.814163234835664,9.81,0.004163234835663943,0.0004242068056180701
1267,12:2E,D4:B6,9.814163234835664,9.82,0.005836765164335844,0.0005947287633873943
1268,12:2E,D4:B6,9.814163234835664,9.81,0.004163234835663943,0.0004242068056180701
1269,12:2E,D4:B6,9.814163234835664,9.81,0.004163234835663943,0.0004242068056180701
1270,12:2E,D4:B6,9.814163234835664,9.8,0.01416323483566373,0.0014431423746235346
1271,12:2E,D4:B6,9.814163234835664,9.83,0.01583676516433563,0.0016136643323928588
1272,12:2E,D4:B6,9.814163234835664,9.8,0.01416323483566373,0.0014431423746235346
1273,12:2E,D4:B6,9.814163234835664,9.84,0.025836765164335418,0.002632599901398323
1274,12:2E,D4:B6,9.814163234835664,9.82,0.005836765164335844,0.0005947287633873943
1275,12:2E,D4:B6,9.814163234835664,9.84,0.025836765164335418,0.002632599901398323
1276,12:2E,D4:B6,9.814163234835664,9.8,0.01416323483566373,0.0014431423746235346
1277,12:2E,D4:B6,9.814163234835664,9.83,0.01583676516433563,0.0016136643323928588
